uav,step,service_0,service_1,service_2,service_3,cpu_utilization,uplink_data_rate,downlink_data_rate,battery,step_consumption,ram_usage
uav_0,45,0,0,0,0,0.0,76.45,76.45,19.011825672561432,0.611784617890236,0.0
uav_0,46,0,0,0,0,0.0,70.8,70.8,18.409105538022658,0.6027201345387736,0.0
uav_0,47,0,0,0,0,0.0,73.85,73.85,17.80149218680743,0.6076133512152266,0.0
uav_0,48,0,0,0,0,0.0,67.2,67.2,17.20454765228021,0.5969445345272224,0.0
uav_0,49,0,0,0,0,0.0,66.25,66.25,16.6091272344227,0.5954204178575074,0.0
uav_0,50,0,0,0,1,72.16666666666667,41.5,61.0,16.016001538792004,0.5931256956306958,1.67
uav_0,51,1,0,0,0,49.00000000000001,50.25,61.25,15.422644954271957,0.5933565845200466,0.707
uav_0,52,1,0,0,0,49.00000000000001,55.150000000000006,66.15,14.821427136402855,0.6012178178691023,0.707
uav_0,53,0,0,0,1,75.16666666666666,47.800000000000004,72.7,14.212957440741471,0.6084696956613838,1.67
uav_1,0,0,0,0,0,0.0,68.9,68.9,46.020328098800654,0.5996719011993438,0.0
uav_1,1,0,0,0,0,0.0,65.85,65.85,45.42554941427776,0.5947786845228906,0.0
uav_1,2,0,1,0,0,57.73333333333333,50.25000000000001,64.85000000000001,44.82667047419111,0.5988789400866467,1.12
uav_1,3,1,0,0,0,50.26666666666666,55.8,70.6,44.22097949520195,0.6056909789891596,0.707
uav_1,4,0,0,0,1,74.0,48.10000000000001,70.9,43.61406499398812,0.606914501213829,1.67
uav_1,5,0,0,1,0,67.86666666666666,47.7,68.7,43.01108634833772,0.6029786456504017,1.93
